player,2020_pos,2020_age,team_id,2020_g,2020_mp,2020_per,2020_ts_pct,2020_fg3a_per_fga_pct,2020_fta_per_fga_pct,2020_orb_pct,2020_drb_pct,2020_trb_pct,2020_ast_pct,2020_stl_pct,2020_blk_pct,2020_tov_pct,2020_usg_pct,2020_ws-dum,2020_ows,2020_dws,2020_ws,2020_ws_per_48,2020_bpm-dum,2020_obpm,2020_dbpm,2020_bpm,2020_vorp,player_id,2021_pos,2021_age,2021_g,2021_mp,2021_per,2021_ts_pct,2021_fg3a_per_fga_pct,2021_fta_per_fga_pct,2021_orb_pct,2021_drb_pct,2021_trb_pct,2021_ast_pct,2021_stl_pct,2021_blk_pct,2021_tov_pct,2021_usg_pct,2021_ws-dum,2021_ows,2021_dws,2021_ws,2021_ws_per_48,2021_bpm-dum,2021_obpm,2021_dbpm,2021_bpm,2021_vorp,2020_salary,2021_salary,img_link
Andre Roberson,SF,28,OKC,7,87,5.4,.335,.483,.069,9.2,24.7,17.1,6.3,0.6,3.0,6.3,16.1,,-0.1,0.1,0.0,-0.017,,-5.2,-0.1,-5.3,-0.1,roberan03,,,,,,,,,,,,,,,,,,,,,,,,,,,10740741,,https://www.basketball-reference.com/req/202101021/images/players/roberan03.jpg
Duncan Robinson,SG,25,MIA,73,2166,13.1,.684,.882,.105,0.5,11.0,6.0,7.1,0.8,0.9,8.9,16.0,,3.7,1.6,5.3,.118,,1.5,-1.0,0.5,1.3,robindu01,SF,26,8,243,9.8,.607,.941,.206,0.0,14.9,8.1,7.0,1.2,0.8,12.9,15.4,,0.1,0.3,0.3,.063,,-1.0,-0.6,-1.6,0.0,1416852,1663861,https://www.2kratings.com/wp-content/uploads/Duncan-Robinson-2K-Rating.png
Glenn Robinson III,SF,26,SAC,62,1786,13.3,.577,.333,.145,4.8,11.9,8.2,8.4,1.5,0.8,8.0,16.4,,2.0,0.9,2.9,.078,,-0.5,-1.2,-1.7,0.1,robingl02,SF,27,7,135,14.0,.668,.457,.400,2.3,12.9,7.3,7.4,0.0,0.7,4.6,13.5,,0.4,-0.1,0.3,.106,,0.8,-2.2,-1.4,0.0,1882867,2028594,https://www.basketball-reference.com/req/202101021/images/players/robingl02.jpg
Jerome Robinson,SG,22,WAS,63,979,7.4,.476,.494,.184,1.4,12.8,7.0,11.9,1.3,1.5,12.8,16.4,,-0.6,0.8,0.2,.009,,-3.8,-0.2,-3.9,-0.5,robinje01,SG,23,6,90,6.9,.536,.435,.217,0.0,12.7,6.0,11.0,1.5,0.0,13.7,13.2,,0.0,0.0,0.0,.019,,-5.6,-1.3,-6.8,-0.1,3567720,,https://www.2kratings.com/wp-content/uploads/Jerome-Robinson-2K-Rating.png
Justin Robinson,PG,22,WAS,9,49,8.2,.542,.417,.000,2.1,9.3,5.6,18.8,0.0,1.8,20.0,12.7,,0.0,0.0,0.0,.007,,-2.6,-3.1,-5.7,0.0,robinju01,,,,,,,,,,,,,,,,,,,,,,,,,,,395866,,https://www.basketball-reference.com/req/202101021/images/players/robinju01.jpg
Mitchell Robinson,C,21,NYK,61,1412,23.5,.726,.000,.434,13.7,18.8,16.2,3.9,1.8,8.0,8.3,13.3,,4.8,2.0,6.8,.230,,1.6,1.4,2.9,1.8,robinmi01,C,22,9,263,17.4,.616,.000,.196,12.1,16.4,14.3,2.8,2.6,6.6,11.6,11.4,,0.4,0.6,1.0,.177,,-0.7,2.2,1.5,0.2,1559712,1663861,https://www.2kratings.com/wp-content/uploads/Mitchell-Robinson-2K-Rating.png
Isaiah Roby,PF,21,OKC,3,11,-7.7,.000,.000,.000,0.0,19.5,10.0,0.0,0.0,0.0,50.0,8.0,,-0.1,0.0,0.0,-0.188,,-12.1,-3.4,-15.5,0.0,robyis01,PF,22,5,85,14.7,.656,.320,.360,9.7,10.3,10.1,4.0,0.6,2.8,17.2,18.0,,0.1,0.1,0.2,.099,,-1.7,-1.4,-3.1,0.0,1500000,1517981,https://www.2kratings.com/wp-content/uploads/Isaiah-Roby-2K-Rating.png
Rajon Rondo,PG,33,ATL,48,984,12.4,.494,.381,.125,2.6,13.1,7.9,32.9,1.9,0.2,20.8,18.7,,0.1,1.3,1.4,.068,,-1.2,-0.1,-1.3,0.2,rondora01,PG,34,2,31,24.2,.600,.500,.000,3.4,3.3,3.3,68.1,1.5,2.9,16.7,16.1,,0.2,0.0,0.2,.269,,7.9,-1.8,6.1,0.1,2564753,7500000,https://www.2kratings.com/wp-content/uploads/Rajon-Rondo-2K-Rating.png
Derrick Rose,PG,31,DET,50,1298,21.0,.555,.195,.185,2.3,8.3,5.3,40.5,1.5,1.0,13.4,31.6,,1.8,0.7,2.5,.092,,3.9,-1.7,2.2,1.4,rosede01,PG,32,8,189,15.6,.485,.206,.275,1.6,8.3,4.7,39.0,2.0,1.6,14.3,29.8,,0.0,0.1,0.1,.016,,-0.3,-1.6,-1.9,0.0,7317073,7682927,https://www.2kratings.com/wp-content/uploads/Derrick-Rose-2K-Rating.png
Terrence Ross,SG,28,ORL,69,1889,14.0,.548,.596,.217,0.7,12.3,6.3,6.8,2.0,1.1,7.0,22.8,,1.1,2.0,3.0,.077,,-0.1,-0.3,-0.4,0.8,rosste01,SG,29,9,247,17.9,.596,.442,.283,1.2,7.9,4.4,7.9,2.3,0.7,10.0,25.6,,0.4,0.3,0.7,.130,,1.7,-0.5,1.1,0.2,12500000,13500000,https://www.2kratings.com/wp-content/uploads/Terrence-Ross-2K-Rating.png
Terry Rozier,PG,25,CHO,63,2164,14.8,.553,.450,.202,2.4,11.8,7.0,20.4,1.4,0.4,12.1,23.7,,1.9,1.1,3.0,.066,,0.8,-1.2,-0.4,0.8,roziete01,SG,26,10,319,18.2,.619,.548,.281,1.9,9.1,5.4,15.2,2.2,1.9,10.9,24.4,,0.5,0.3,0.8,.128,,3.3,-0.9,2.4,0.4,19894737,18900000,https://www.2kratings.com/wp-content/uploads/Terry-Rozier-2K-Rating.png
Ricky Rubio,PG,29,MIN,65,2016,16.5,.535,.312,.327,2.5,14.4,8.4,39.7,2.2,0.5,17.9,20.4,,2.9,2.0,4.9,.117,,0.7,0.2,1.0,1.5,rubiori01,PG,30,9,222,10.3,.483,.340,.170,1.8,12.0,6.6,27.9,2.5,0.0,20.8,13.5,,0.1,0.0,0.1,.018,,-4.4,-0.6,-5.1,-0.2,16190476,17000000,https://www.2kratings.com/wp-content/uploads/Ricky-Rubio-2K-Rating.png
D'Angelo Russell,PG,23,MIN,45,1452,18.7,.556,.509,.235,1.2,12.3,6.6,35.2,1.6,0.8,13.6,31.5,,1.1,0.7,1.8,.060,,3.8,-1.9,1.9,1.4,russeda01,PG,24,9,278,15.4,.531,.425,.190,1.8,9.2,5.2,27.4,1.9,1.2,14.9,29.1,,0.0,0.0,0.0,.001,,0.1,-2.7,-2.6,0.0,27285000,28649250,https://www.2kratings.com/wp-content/uploads/DAngelo-Russell-2K-Rating.png
Domantas Sabonis,PF,23,IND,62,2159,20.7,.586,.079,.349,9.7,29.3,19.6,21.7,1.1,1.2,14.8,23.3,,4.1,3.4,7.5,.168,,2.0,1.2,3.2,2.9,sabondo01,PF,24,9,339,20.9,.616,.156,.378,8.8,28.6,18.8,24.0,0.8,1.2,17.3,24.4,,0.8,0.4,1.2,.167,,2.7,0.1,2.8,0.4,3529555,17187500,https://www.2kratings.com/wp-content/uploads/Domantas-Sabonis-2K-Rating.png
Luka Šamanić,PF,20,SAS,3,48,8.8,.450,.500,.250,2.2,20.2,11.2,16.3,0.0,3.7,10.1,17.8,,0.0,0.0,0.0,.011,,-2.4,-1.7,-4.1,0.0,samanlu01,PF,21,3,8,-1.6,.340,.400,.400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,,0.0,0.0,0.0,-0.244,,-4.7,-8.7,-13.4,0.0,2689920,2824320,https://www.2kratings.com/wp-content/uploads/Luka-Samanic-2K-Rating.png
JaKarr Sampson,PF,26,IND,34,471,12.6,.615,.113,.235,4.7,15.7,10.2,6.1,1.6,2.2,10.6,13.2,,0.6,0.7,1.2,.124,,-2.8,1.4,-1.4,0.1,sampsja02,PF,27,4,21,11.1,.658,.250,.750,0.0,15.9,8.1,0.0,0.0,4.0,0.0,11.0,,0.0,0.0,0.1,.148,,-2.8,-0.8,-3.6,0.0,1737145,1882867,https://www.2kratings.com/wp-content/uploads/JaKarr-Sampson-2K-Rating.png
Dario Šarić,PF,25,PHO,66,1632,14.2,.592,.437,.238,6.7,21.1,13.8,10.8,1.1,0.9,12.9,17.8,,2.1,1.5,3.6,.105,,-0.1,-0.3,-0.4,0.7,saricda01,PF,26,6,111,12.5,.565,.480,.180,3.1,23.0,13.2,8.5,1.8,0.0,16.9,26.5,,-0.1,0.2,0.1,.033,,-2.6,-0.7,-3.2,0.0,3481986,8333333,https://www.2kratings.com/wp-content/uploads/Dario-Saric-2K-Rating.png
